Year,P_L,ET,P_O,E,P_TOT,E_TOT,period,PpE,PmE,mean_PpE,sd_PpE,mean_PmE,sd_PmE
1905,2.24263324849011,1.78307725494705,2.7216874510717,2.91122000337474,2.58183686417648,2.58183686417648,1900-1930,5.16367372835295,0,4.50613731284023,0.67278518722718,0,0
1906,2.05881085107288,1.4889614190795,2.67619963851897,2.91122000337474,2.4959545568442,2.4959545568442,1900-1930,4.99190911368841,0,4.50613731284023,0.67278518722718,0,0
1915,2.05881085107288,1.4889614190795,1.83467510629346,2.06969547114923,1.90014604972655,1.90014604972655,1900-1930,3.80029209945311,0,4.50613731284023,0.67278518722718,0,0
1922,2.05881085107288,1.37866798062916,2.0242076585965,2.304715836005,2.03433715493323,2.03433715493323,1900-1930,4.06867430986646,0,4.50613731284023,0.67278518722718,0,0
1931,2.05881085107288,1.37866798062916,2.53215489876865,2.81266307617716,2.39396931688713,2.39396931688713,1930-1960,4.78793863377425,0,4.87739937057871,0.502097140035924,0,0
1934,1.8198417344305,1.13969886398678,3.12349646195415,3.40400463936265,2.74286619042449,2.74286619042449,1930-1960,5.48573238084898,0,4.87739937057871,0.502097140035924,0,0
1934,1.83822397417222,0.955876466569553,3.10833385776991,3.47223635819175,2.73749854621622,2.73749854621622,1930-1960,5.47499709243244,0,4.87739937057871,0.502097140035924,0,0
1936,1.8198417344305,1.13969886398678,2.25164672136015,2.53215489876865,2.12558710647377,2.12558710647377,1930-1960,4.25117421294754,0,4.87739937057871,0.502097140035924,0,0
1938,1.8198417344305,1.13969886398678,2.62313052387412,2.90363870128262,2.38860167267886,2.38860167267886,1930-1960,4.77720334535772,0,4.87739937057871,0.502097140035924,0,0
1945,1.96689965236427,1.30513902166227,3.12349646195415,3.39642333727053,2.78580734409063,2.78580734409063,1930-1960,5.57161468818125,0,4.87739937057871,0.502097140035924,0,0
1951,1.8198417344305,1.13969886398678,2.45634187784744,2.73685005525594,2.27051350009698,2.27051350009698,1930-1960,4.54102700019397,0,4.87739937057871,0.502097140035924,0,0
1952,1.83822397417222,1.28675678192055,2.38811015901834,2.61554922178199,2.22757234643085,2.22757234643085,1930-1960,4.45514469286169,0,4.87739937057871,0.502097140035924,0,0
1954,1.83822397417222,1.34190350114572,2.45634187784744,2.66103703433472,2.27588114430525,2.27588114430525,1930-1960,4.5517622886105,0,4.87739937057871,0.502097140035924,0,0
1960,1.83822397417222,1.23161006269539,2.86573219082201,3.11591515986203,2.56573393155167,2.56573393155167,1960-1990,5.13146786310335,0,5.34662093511806,0.31658312700594,-4.473036840222e-4,0.00154950541427837
1963,1.96689965236427,1.12131662424505,3.06284604521718,3.42674854563902,2.74823383463276,2.75360147884102,1960-1990,5.50183531347378,-0.00536764420826641,5.34662093511806,0.31658312700594,-4.473036840222e-4,0.00154950541427837
1964,1.985281892106,1.323521261404,3.12349646195415,3.39642333727053,2.79117498829889,2.79117498829889,1960-1990,5.58234997659779,0,5.34662093511806,0.31658312700594,-4.473036840222e-4,0.00154950541427837
1968,1.83822397417222,1.26837454217883,2.41843536738683,2.6534557322426,2.24904292326392,2.24904292326392,1960-1990,4.49808584652783,0,5.34662093511806,0.31658312700594,-4.473036840222e-4,0.00154950541427837
1968,1.83822397417222,1.10293438450333,3.10833385776991,3.41158594145477,2.73749854621622,2.73749854621622,1960-1990,5.47499709243244,0,5.34662093511806,0.31658312700594,-4.473036840222e-4,0.00154950541427837
1969,1.94851741262255,1.26837454217883,2.8960573991905,3.176565576599,2.61941037363435,2.61941037363435,1960-1990,5.23882074726869,0,5.34662093511806,0.31658312700594,-4.473036840222e-4,0.00154950541427837
1970,2.00366413184772,1.323521261404,3.11591515986203,3.39642333727053,2.79117498829889,2.79117498829889,1960-1990,5.58234997659779,0,5.34662093511806,0.31658312700594,-4.473036840222e-4,0.00154950541427837
1970,1.96689965236427,1.17646334347022,3.12349646195415,3.44949245191538,2.78580734409063,2.78580734409063,1960-1990,5.57161468818125,0,5.34662093511806,0.31658312700594,-4.473036840222e-4,0.00154950541427837
1972,1.83822397417222,1.19484558321194,2.90363870128262,3.16898427450688,2.59257215259301,2.59257215259301,1960-1990,5.18514430518602,0,5.34662093511806,0.31658312700594,-4.473036840222e-4,0.00154950541427837
1974,2.09557533055633,1.34190350114572,3.12349646195415,3.43432984773114,2.8233808535485,2.8233808535485,1960-1990,5.64676170709699,0,5.34662093511806,0.31658312700594,-4.473036840222e-4,0.00154950541427837
1982,2.04042861133116,1.30513902166227,2.91880130546686,3.22205338915173,2.66235152730048,2.66235152730048,1960-1990,5.32470305460097,0,5.34662093511806,0.31658312700594,-4.473036840222e-4,0.00154950541427837
1986,1.96689965236427,1.30513902166227,3.01735823266445,3.29028510798083,2.71066032517489,2.71066032517489,1960-1990,5.42132065034977,0,5.34662093511806,0.31658312700594,-4.473036840222e-4,0.00154950541427837
