Year,T,P,E,PpE,PmE
1900,13.007070833333334,1017.4809220000001,1021.88788,2039.368802,-4.406957999999918
1901,12.872629166666666,1014.685641,1019.062761,2033.7484020000002,-4.377119999999991
1902,12.828635833333333,1013.189188,1018.297786,2031.486974,-5.108598000000029
1903,12.662279999999999,1012.292001,1015.163046,2027.455047,-2.871044999999981
1904,12.550959166666667,1006.0689709999999,1011.614402,2017.6833729999998,-5.5454310000001215
1905,12.739551666666667,1005.972522,1011.8909289999999,2017.863451,-5.918406999999888
1906,12.822771666666666,1013.021,1018.373605,2031.394605,-5.35260500000004
1907,12.642604166666667,1001.2832639999999,1006.453485,2007.736749,-5.170221000000083
1908,12.603784166666667,1002.2193,1008.030172,2010.249472,-5.810872000000018
1909,12.563689166666666,1001.129272,1005.083727,2006.2129989999999,-3.954454999999939
1910,12.523670833333332,997.495585,1001.724428,1999.220013,-4.2288429999999835
1911,12.526961666666667,995.369286,1001.944608,1997.313894,-6.575322000000028
1912,12.686353333333333,1007.4551710000001,1012.8427,2020.2978710000002,-5.387528999999972
1913,12.613710833333334,995.343766,1002.190686,1997.5344519999999,-6.846920000000068
1914,12.872943333333334,1012.782132,1018.769306,2031.551438,-5.987173999999982
1915,13.005581666666666,1026.152492,1030.482735,2056.6352269999998,-4.3302430000001095
1916,12.746655833333334,1017.842519,1023.157646,2041.000165,-5.315126999999961
1917,12.671584166666667,1010.415988,1016.680962,2027.09695,-6.264974000000052
1918,12.785736666666667,1011.31157,1018.099218,2029.410788,-6.78764799999999
1919,12.851131666666667,1019.3428269999999,1023.622101,2042.9649279999999,-4.2792740000001
1920,12.906685,1021.889538,1028.3688379999999,2050.2583759999998,-6.479299999999853
1921,12.8702475,1009.12199,1015.336969,2024.458959,-6.214978999999971
1922,12.799719166666666,1010.625914,1017.442216,2028.06813,-6.816302000000064
1923,12.795514166666667,1010.307847,1016.738662,2027.046509,-6.430814999999939
1924,12.838924166666667,1013.007067,1017.051724,2030.058791,-4.044657000000029
1925,12.839448333333333,1010.404172,1017.4510359999999,2027.855208,-7.046863999999914
1926,13.009145833333333,1019.649698,1025.25974,2044.909438,-5.610042000000021
1927,12.8220625,1005.9901600000001,1011.861157,2017.851317,-5.8709969999999885
1928,12.8961925,1012.457709,1018.086779,2030.544488,-5.629069999999956
1929,12.677618333333333,1003.017068,1009.02287,2012.039938,-6.005802000000017
1930,12.9883375,1013.0395550000001,1020.27499,2033.3145450000002,-7.2354349999999386
1931,13.076398333333334,1018.8798370000001,1023.4843940000001,2042.364231,-4.604557
1932,12.884071666666667,1017.665344,1023.787977,2041.453321,-6.122632999999951
1933,12.7661625,1008.928702,1015.324581,2024.253283,-6.395878999999923
1934,12.826994166666667,1009.204586,1015.4480520000001,2024.652638,-6.243466000000126
1935,12.810284166666667,1008.361086,1015.67696,2024.0380460000001,-7.315874000000008
1936,12.899949166666667,1012.224796,1018.1046739999999,2030.32947,-5.879877999999962
1937,12.94814,1011.248821,1018.758679,2030.0075000000002,-7.509858000000008
1938,12.938625833333333,1012.726773,1019.253414,2031.9801870000001,-6.5266410000000405
1939,12.9143425,1018.963281,1026.549018,2045.512299,-7.585736999999881
1940,13.135214166666668,1028.300023,1033.651199,2061.9512219999997,-5.351175999999896
1941,13.07439,1026.646346,1032.883578,2059.529924,-6.237231999999949
1942,12.975585,1020.199826,1026.804942,2047.004768,-6.605115999999953
1943,12.9303825,1018.3250419999999,1026.71108,2045.036122,-8.386038000000099
1944,13.162526666666666,1031.265267,1038.044486,2069.309753,-6.779219000000012
1945,13.120213333333334,1029.810253,1033.877396,2063.6876490000004,-4.067142999999987
1946,13.159275833333334,1029.083195,1034.8097109999999,2063.892906,-5.726515999999947
1947,13.122673333333333,1023.025663,1028.094624,2051.120287,-5.0689610000000584
1948,13.069821666666666,1027.14527,1032.722282,2059.8675519999997,-5.577011999999968
1949,12.964974166666666,1019.814845,1024.943333,2044.758178,-5.1284879999999475
1950,12.927484166666666,1019.1890129999999,1026.470213,2045.659226,-7.281200000000126
1951,13.019456666666667,1017.494162,1023.915866,2041.410028,-6.421704000000091
1952,13.015963333333334,1025.051818,1029.760572,2054.81239,-4.708753999999999
1953,13.054935833333333,1027.859029,1035.099985,2062.959014,-7.2409560000000965
1954,12.911660833333334,1019.080886,1022.713908,2041.794794,-3.6330219999999827
1955,12.844150833333334,1017.907592,1021.18291,2039.090502,-3.27531799999997
1956,12.792503333333332,1021.9926849999999,1027.942009,2049.934694,-5.949324000000161
1957,13.006563333333334,1023.306747,1029.569474,2052.876221,-6.262726999999927
1958,12.998258333333334,1025.1069029999999,1030.163441,2055.2703439999996,-5.056538000000046
