Year,T,P,E
1900,13.007070833333334,1017.4809220000001,1021.88788
1901,12.872629166666666,1014.685641,1019.062761
1902,12.828635833333333,1013.189188,1018.297786
1903,12.662279999999999,1012.292001,1015.163046
1904,12.550959166666667,1006.0689709999999,1011.614402
1905,12.739551666666667,1005.972522,1011.8909289999999
1906,12.822771666666666,1013.021,1018.373605
1907,12.642604166666667,1001.2832639999999,1006.453485
1908,12.603784166666667,1002.2193,1008.030172
1909,12.563689166666666,1001.129272,1005.083727
1910,12.523670833333332,997.495585,1001.724428
1911,12.526961666666667,995.369286,1001.944608
1912,12.686353333333333,1007.4551710000001,1012.8427
1913,12.613710833333334,995.343766,1002.190686
1914,12.872943333333334,1012.782132,1018.769306
1915,13.005581666666666,1026.152492,1030.482735
1916,12.746655833333334,1017.842519,1023.157646
1917,12.671584166666667,1010.415988,1016.680962
1918,12.785736666666667,1011.31157,1018.099218
1919,12.851131666666667,1019.3428269999999,1023.622101
1920,12.906685,1021.889538,1028.3688379999999
1921,12.8702475,1009.12199,1015.336969
1922,12.799719166666666,1010.625914,1017.442216
1923,12.795514166666667,1010.307847,1016.738662
1924,12.838924166666667,1013.007067,1017.051724
1925,12.839448333333333,1010.404172,1017.4510359999999
1926,13.009145833333333,1019.649698,1025.25974
1927,12.8220625,1005.9901600000001,1011.861157
1928,12.8961925,1012.457709,1018.086779
1929,12.677618333333333,1003.017068,1009.02287
1930,12.9883375,1013.0395550000001,1020.27499
1931,13.076398333333334,1018.8798370000001,1023.4843940000001
1932,12.884071666666667,1017.665344,1023.787977
1933,12.7661625,1008.928702,1015.324581
1934,12.826994166666667,1009.204586,1015.4480520000001
1935,12.810284166666667,1008.361086,1015.67696
1936,12.899949166666667,1012.224796,1018.1046739999999
1937,12.94814,1011.248821,1018.758679
1938,12.938625833333333,1012.726773,1019.253414
1939,12.9143425,1018.963281,1026.549018
1940,13.135214166666668,1028.300023,1033.651199
1941,13.07439,1026.646346,1032.883578
1942,12.975585,1020.199826,1026.804942
1943,12.9303825,1018.3250419999999,1026.71108
1944,13.162526666666666,1031.265267,1038.044486
1945,13.120213333333334,1029.810253,1033.877396
1946,13.159275833333334,1029.083195,1034.8097109999999
1947,13.122673333333333,1023.025663,1028.094624
1948,13.069821666666666,1027.14527,1032.722282
1949,12.964974166666666,1019.814845,1024.943333
1950,12.927484166666666,1019.1890129999999,1026.470213
1951,13.019456666666667,1017.494162,1023.915866
1952,13.015963333333334,1025.051818,1029.760572
1953,13.054935833333333,1027.859029,1035.099985
1954,12.911660833333334,1019.080886,1022.713908
1955,12.844150833333334,1017.907592,1021.18291
1956,12.792503333333332,1021.9926849999999,1027.942009
1957,13.006563333333334,1023.306747,1029.569474
1958,12.998258333333334,1025.1069029999999,1030.163441
1959,12.951305833333333,1027.160904,1033.3904
1960,13.050810833333333,1022.572136,1027.023396
1961,12.966086666666667,1023.693743,1029.926133
1962,12.942505833333334,1022.474932,1028.007214
1963,12.963689166666667,1021.570392,1029.418284
1964,12.781405,1021.371091,1023.757108
1965,12.956994166666666,1015.416523,1019.899381
1966,13.0376425,1019.85833,1024.279724
1967,12.940581666666667,1025.414321,1030.163873
1968,12.9185,1020.551589,1024.528781
1969,13.048418333333334,1029.246279,1036.601774
1970,13.086740833333334,1026.211137,1029.3811660000001
1971,12.957468333333333,1006.0709459999999,1008.430459
1972,13.0469975,1022.625545,1030.155284
1973,13.126803333333333,1025.840827,1030.30918
1974,12.831673333333333,1019.965343,1025.857219
1975,12.895465833333333,1017.480475,1021.8637659999999
1976,12.8392,1016.471079,1024.443241
1977,13.107616666666667,1028.839031,1033.121969
1978,12.999689166666666,1027.616655,1032.840572
1979,13.135035833333333,1027.856865,1034.907451
1980,13.247805,1029.023037,1034.588377
1981,13.29326,1031.546861,1038.448923
1982,13.124233333333333,1027.202142,1035.294467
1983,13.27864,1033.0234169999999,1037.463523
1984,13.037115833333333,1027.382751,1031.945496
1985,13.064776666666667,1027.089335,1032.29337
1986,13.181263333333334,1033.988955,1042.382742
1987,13.240526666666666,1038.10729,1048.091168
1988,13.3347625,1036.250095,1039.269606
1989,13.168350833333333,1026.884628,1031.149309
1990,13.48467,1035.1458910000001,1041.074366
1991,13.446974166666667,1031.061375,1034.055895
1992,13.213839166666666,1031.307853,1037.148725
1993,13.203379166666666,1023.977041,1029.540504
1994,13.3132725,1019.894481,1027.300805
1995,13.523254166666668,1029.157494,1034.552374
1996,13.370444166666667,1035.825292,1040.1661100000001
1997,13.512046666666667,1035.815215,1040.261371
1998,13.690861666666667,1046.047285,1051.146001
1999,13.4545875,1028.983692,1033.523781
2000,13.481266666666667,1036.464064,1040.917936
2001,13.601135,1035.091239,1041.669379
2002,13.70433,1036.238397,1039.452024
2003,13.674990833333334,1044.465827,1051.040728
2004,13.6327325,1044.425402,1048.364435
2005,13.861923333333333,1040.096711,1041.706205
2006,13.815395833333334,1042.951783,1046.969544
2007,13.785876666666667,1043.507013,1046.268619
2008,13.633125,1035.30998,1039.54332
2009,13.768435833333333,1043.455491,1048.136233
2010,13.8185875,1056.168444,1061.1909719999999
